index,class,predicted_prob
1.0,1.0,0.8915872648726598
2.0,1.0,0.5356129425532492
3.0,1.0,0.3618891653807501
4.0,0.0,0.5437546046830828
5.0,1.0,0.9007969734231591
6.0,1.0,0.6194314901032354
7.0,1.0,0.7666701063402195
8.0,0.0,0.0701457356322008
9.0,0.0,0.6874571259188711
10.0,0.0,0.5504487168257809
11.0,0.0,0.4777889788773316
12.0,0.0,0.568997606066626
13.0,0.0,0.8298984917589172
14.0,1.0,0.7462770908798199
15.0,1.0,0.3888389646434751
16.0,0.0,0.25902950950940984
17.0,1.0,0.8371188750510854
18.0,0.0,0.5438416207036794
19.0,0.0,0.03043217865718796
20.0,0.0,0.4046170744033363
21.0,0.0,0.2754309821833778
22.0,0.0,0.16903708209786433
23.0,0.0,0.4329737025024273
24.0,0.0,0.18707080464266046
25.0,0.0,0.04694416509009901
26.0,0.0,0.41797547821490527
27.0,1.0,0.9075212131641183
28.0,0.0,0.11024334097861659
29.0,0.0,0.2013300412133084
30.0,1.0,0.9943707044546743
31.0,1.0,0.8265661430115897
32.0,0.0,0.25775545946103245
33.0,1.0,0.7438926163829742
34.0,0.0,0.05807868572498141
35.0,1.0,0.45365534521742124
36.0,1.0,0.6995276048030421
37.0,1.0,0.9180392307235427
38.0,0.0,0.867821189269975
39.0,1.0,0.6713853288569092
40.0,1.0,0.909386626806975
41.0,0.0,0.033062410092471975
42.0,1.0,0.44316733759306026
43.0,0.0,0.4448802426136355
44.0,0.0,0.24066550812185436
45.0,1.0,0.4698206642522445
46.0,0.0,0.31562831953265935
47.0,1.0,0.5212671359138943
48.0,1.0,0.5715444881384822
49.0,1.0,0.5830527597706053
50.0,0.0,0.5244780121053595
51.0,0.0,0.2765077956274263
52.0,1.0,0.6633711784548273
53.0,1.0,0.7848931471760863
54.0,1.0,0.703491658236505
55.0,0.0,0.35664950809346985
56.0,0.0,0.5051568802391573
57.0,0.0,0.2255976994322484
58.0,0.0,0.07045591549734107
59.0,0.0,0.5404630243657902
60.0,0.0,0.12316015141099058
61.0,0.0,0.617253017398592
62.0,1.0,0.7416079342720623
63.0,0.0,0.17712143240679
64.0,0.0,0.091612504261985
65.0,1.0,0.37045294225589376
66.0,1.0,0.6627991571074359
67.0,1.0,0.9699813493347818
68.0,1.0,0.436579288643016
69.0,1.0,0.982710054552139
70.0,0.0,0.11835270304419951
71.0,0.0,0.53236764066013
72.0,1.0,0.7162673154934817
73.0,1.0,0.9530605789796978
74.0,0.0,0.13202020754783822
75.0,0.0,0.1603692055640257
76.0,1.0,0.5256648700720331
